[03:06:52.041] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.143] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.248] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.349] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.433] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.535] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.635] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.736] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2,		 y : -1		 /		
[03:06:52.839] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2.16,		 y : -1		 /		
[03:06:52.937] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2.56,		 y : -1		 /		
[03:06:53.038] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 2.96,		 y : -1		 /		
[03:06:53.138] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 3.28,		 y : -1		 /		
[03:06:53.238] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 3.68,		 y : -1		 /		
[03:06:53.340] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.08,		 y : -1		 /		
[03:06:53.439] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.48,		 y : -1.08		 /		
[03:06:53.541] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -1.4		 /		
[03:06:53.642] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -1.8		 /		
[03:06:53.742] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.12		 /		
